,bedrooms,price,bathrooms,MLS_Number,sq_ft,address
46,2 Beds, $999000,2 Baths,"MLS® ML81911853
","1,143 ft","1951 Ofarrell ST 219, SAN MATEO, CA 94403Pending"
47,2 Beds, $775000,2 Baths,"MLS® ML81916229
","1,152 ft","10 Scenic WAY 317, SAN MATEO, CA 94403Pending"
48,2 Beds, $678000,2 Baths,"MLS® ML81919014
",956 ft,"3041 Los Prados ST 104, SAN MATEO, CA 94403Active"
49,3 Beds, $950000,2 Baths,"MLS® ML81918141
","1,270 ft","103 N Delaware ST, SAN MATEO, CA 94401Pending"
50,000, $498,1 Bath,"MLS® ML81918972
",519 ft,"688 Mariners Island BLVD 116, SAN MATEO, CA 94404Active"
51,2 Beds, $865000,2 Baths,"MLS® ML81918951
","1,024 ft","1919 Alameda De Las Pulgas 120, SAN MATEO, CA 94403Active"
52,2 Beds, $899000,2 Baths,"MLS® ML81915760
","1,070 ft","1542 Vista Del Sol, SAN MATEO, CA 94404Pending"
53,2 Beds, $950000,2.5 Baths,"MLS® ML81914876
","1,200 ft","2223 Armada WAY, SAN MATEO, CA 94404Under Contract"
54,2 Beds, $898000,2 Baths,"MLS® ML81916622
","1,213 ft","35 W 20th AVE 211, SAN MATEO, CA 94403Pending"
55,01 Bed, $64900,1 Bath,"MLS® ML81918455
",690 ft,"2425 S Norfolk ST 401, SAN MATEO, CA 94403Active"
56,2 Beds, $815000,2 Baths,"MLS® ML81918184
",913 ft,"401 S Norfolk ST 207, SAN MATEO, CA 94401Active"
57,2 Beds, $899000,2 Baths,"MLS® ML81917280
","1,204 ft","930 Peninsula AVE 405, SAN MATEO, CA 94401Pending"
58,2 Beds, $859000,2 Baths,"MLS® ML81918116
","1,213 ft","55 W 20th AVE 108, SAN MATEO, CA 94403Active"
59,2 Beds, $599000,2 Baths,"MLS® ML81918057
","1,300 ft","1 Baldwin AVE 310, SAN MATEO, CA 94401Active"
60,2 Beds, $698000,2 Baths,"MLS® ML81918050
",930 ft,"320 Peninsula AVE 211, SAN MATEO, CA 94401Active"
61,01 Bed, $81000,1 Bath,"MLS® ML81917570
",821 ft,"20 Madison AVE 204, SAN MATEO, CA 94402Pending"
62,3 Beds, $705000,1 Bath,"MLS® ML81909695
","1,054 ft","1529 Day Ave A, SAN MATEO, CA 94403Under Contract"
63,2 Beds, $750000,1 Bath,"MLS® ML81917982
",903 ft,"934 Peninsula AVE 405, SAN MATEO, CA 94401Active"
64,3 Beds, $725000,2 Baths,"MLS® ML81917909
",905 ft,"3369 La Selva ST F, SAN MATEO, CA 94403Active"
65,2 Beds, $689000,2 Baths,"MLS® ML81916472
",900 ft,"3090 Los Prados ST 20, SAN MATEO, CA 94403Pending"
66,01 Bed, $35900,1 Bath,"MLS® ML81917461
","1,100 ft","1 Baldwin AVE 516, SAN MATEO, CA 94401Active"
67,2 Beds, $799000,2 Baths,"MLS® ML81917323
","1,300 ft","1 Baldwin AVE 410, SAN MATEO, CA 94401Active"
68,01 Bed, $59900,1 Bath,"MLS® ML81917301
",693 ft,"845 N Humboldt ST 409, SAN MATEO, CA 94401Active"
69,2 Beds, $365000,2 Baths,"MLS® ML81917198
","1,140 ft","1 Baldwin AVE 608, SAN MATEO, CA 94401Active"
70,01 Bed, $25900,1 Bath,"MLS® ML81916943
",968 ft,"1 Baldwin AVE 418, SAN MATEO, CA 94401Active"
71,2 Beds, $999000,2 Baths,"MLS® ML81916860 
","1,530 ft","11 Hayward AVE 2003, SAN MATEO, CA 94401Active"
72,01 Bed, $27500,1 Bath,"MLS® ML81893589
",968 ft,"1 Baldwin AVE 606, SAN MATEO, CA 94401Active"
73,01 Bed, $37500,2 Baths,"MLS® ML81916395
","1,112 ft","1 Baldwin AVE 322, SAN MATEO, CA 94401Active"
74,2 Beds, $749000,2 Baths,"MLS® ML81893578
","1,429 ft","1 Baldwin AVE 1017, SAN MATEO, CA 94401Active"
75,01 Bed, $43800,2 Baths,"MLS® ML81915529
","1,112 ft","1 Baldwin AVE 804, SAN MATEO, CA 94401Active"
76,2 Beds, $359000,2 Baths,"MLS® ML81872784
","1,140 ft","1 Baldwin AVE 820, SAN MATEO, CA 94401Active"
77,01 Bed, $26000,1 Bath,"MLS® ML81885059
",981 ft,"1 Baldwin AVE 201, SAN MATEO, CA 94401Active"
78,2 Beds, $948000,2 Baths,"MLS® ML81912601
","1,200 ft","112 Madison AVE 206, SAN MATEO, CA 94402Active"
79,01 Bed, $30000,1 Bath,"MLS® ML81912290
",930 ft,"1 Baldwin AVE 1014, SAN MATEO, CA 94401Active"
80,01 Bed, $32500,1 Bath,"MLS® ML81910226
",800 ft,"1 Baldwin AVE 515, SAN MATEO, CA 94401Active"
81,2 Beds, $825000,2 Baths,"MLS® ML81837483
","1,400 ft","1 Baldwin AVE 223, SAN MATEO, CA 94401Active"
82,2 Beds, $699000,2 Baths,"MLS® ML81904356
","1,400 ft","1 Baldwin AVE 203, SAN MATEO, CA 94401Active"
83,01 Bed, $32900,1 Bath,"MLS® ML81902752
","1,000 ft","1 Baldwin AVE 807, SAN MATEO, CA 94401Active"
84,2 Beds, $999999,2 Baths,"MLS® ML81902164
","1,210 ft","10 Crystal Springs RD 2211, SAN MATEO, CA 94402Active"
85,01 Bed, $30900,1 Bath,"MLS® ML81901110
",800 ft,"1 Baldwin AVE 821, SAN MATEO, CA 94401Active"
86,2 Beds, $730000,2 Baths,"MLS® ML81899074
","1,429 ft","1 Baldwin AVE 317, SAN MATEO, CA 94401Active"
87,01 Bed, $32900,1 Bath,"MLS® ML81895544
",981 ft,"1 Baldwin AVE 701, SAN MATEO, CA 94401Active"
88,2 Beds, $299000,1 Bath,"MLS® ML81893616
",981 ft,"1 Baldwin AVE 212, SAN MATEO, CA 94401Active"
89,2 Beds, $730000,2 Baths,"MLS® ML81891953
","1,400 ft","1 Baldwin AVE 217, SAN MATEO, CA 94401Active"
90,2 Beds, $765000,2 Baths,"MLS® ML81890463
","1,429 ft","1 Baldwin AVE 517, SAN MATEO, CA 94401Active"
91,01 Bed, $19900,1 Bath,"MLS® ML81888919
",968 ft,"1 Baldwin AVE 302, SAN MATEO, CA 94401Active"
92,2 Beds, $349000,2 Baths,"MLS® ML81886951
","1,125 ft","1 Baldwin AVE 311, SAN MATEO, CA 94401Active"
93,2 Beds, $899000,2 Baths,"MLS® ML81918678
","1,052 ft","1209 Oak Grove AVE 304, BURLINGAME, CA 94010Under Contract"
94,01 Bed, $79900,1 Bath,"MLS® ML81918095
",680 ft,"140 Myrtle RD, BURLINGAME, CA 94010Pending"
95,01 Bed, $75000,1 Bath,"MLS® ML81915850
",935 ft,"1515 Floribunda AVE 204, BURLINGAME, CA 94010Under Contract"
