,bedrooms,price,bathrooms,MLS_Number,sq_ft,address
209,81 Bed, $37414,1 Bath,"MLS® ML81896019
",429 ft,"671 Delve CT, HAYWARD, CA 94544Pending"
210,2 Beds, $783120,2 Baths,"MLS® ML81908531
","1,286 ft","667 Delve CT, HAYWARD, CA 94544Pending"
211,4 Beds, $698888,2.5 Baths,"MLS® ML81908374
","1,474 ft","27496 Ponderosa CT, HAYWARD, CA 94545Active"
212,2 Beds, $773793,2 Baths,"MLS® ML81907000
","1,286 ft","583 Delve CT, HAYWARD, CA 94544Pending"
213,2 Beds, $792650,2 Baths,"MLS® ML81898965 
","1,286 ft","611 Delve CT, HAYWARD, CA 94544Pending"
214,3 Beds, $699000,2 Baths,"MLS® ML81919209
","1,770 ft","17069 President DR, CASTRO VALLEY, CA 94546Active"
215,3 Beds, $375000,1 Bath,"MLS® ML81918075
","1,294 ft","2719 Ritchie ST, OAKLAND, CA 94605Pending"
216,2 Beds, $575000,1 Bath,"MLS® ML81918336
",980 ft,"11111 Estepa DR, OAKLAND, CA 94603Pending"
217,2 Beds, $575000,1 Bath,"MLS® ML81919632
",936 ft,"2239 83rd AVE, OAKLAND, CA 94605Active"
218,2 Beds, $565000,1 Bath,"MLS® ML81912994
",964 ft,"1345 E 34th ST, OAKLAND, CA 94602Active"
219,5 Beds, $995000,4 Baths,"MLS® ML81917360
","3,009 ft","8132 Sterling DR, OAKLAND, CA 94605Active"
220,2 Beds, $655000,2 Baths,"MLS® ML81919268
",909 ft,"901 Jefferson ST 314, OAKLAND, CA 94607Active"
221,2 Beds, $475000,1 Bath,"MLS® ML81919059
","1,044 ft","2142 64th AVE, OAKLAND, CA 94621Active"
222,01 Bed, $49800,2 Baths,"MLS® ML81917828
","1,200 ft","850 W Grand AVe 18, OAKLAND, CA 94607Under Contract"
223,4 Beds, $898000,3 Baths,"MLS® ML81918990
","1,769 ft","3618 Macarthur BLVD, OAKLAND, CA 94619Active"
224,2 Beds, $459950,1 Bath,"MLS® ML81913919
","1,056 ft","2235 108th AVE, OAKLAND, CA 94603Pending"
225,4 Beds, $666976,2.5 Baths,"MLS® ML81910904
","1,881 ft","3778 Manila AVE, OAKLAND, CA 94609Pending"
226,2 Beds, $699950,2 Baths,"MLS® ML81917343
","1,266 ft","3006 Rawson ST, OAKLAND, CA 94619Pending"
227,3 Beds, $650000,2 Baths,"MLS® ML81918489
",896 ft,"1826 E 15th ST, OAKLAND, CA 94606Active"
228,2 Beds, $600000,1 Bath,"MLS® ML81917439
","1,170 ft","3229 Macarthur BLVD, OAKLAND, CA 94602Under Contract"
229,2 Beds, $865000,1.5 Baths,"MLS® ML81917699
",989 ft,"4560 Merrill AVE, OAKLAND, CA 94619Active"
230,91 Bed, $49999,1 Bath,"MLS® ML81916415
",773 ft,"220 Caldecott LN 112, OAKLAND, CA 94618Pending"
231,4 Beds, $838000,2 Baths,"MLS® ML81905568
","1,725 ft","2726 Myrtle ST, OAKLAND, CA 94607Active"
232,4 Beds, $725000,2 Baths,"MLS® ML81914079
","1,423 ft","2037 E 23rd ST, OAKLAND, CA 94606Under Contract"
233,2 Beds, $535000,1.5 Baths,"MLS® ML81916924
","1,140 ft","801 Franklin ST 1005, OAKLAND, CA 94607Active"
234,5 Beds, $498000,3 Baths,"MLS® ML81915691
","1,560 ft","1129 107th AVE, OAKLAND, CA 94603Pending"
235,01 Bed, $54800,1 Bath,"MLS® ML81916178
",666 ft,"1 Lakeside DR 1606, OAKLAND, CA 94612Active"
236,2 Beds, $549000,1 Bath,"MLS® ML81900642
",892 ft,"5015 Bancroft AVE, OAKLAND, CA 94601Active"
237,2 Beds, $899000,1 Bath,"MLS® ML81915293
",756 ft,"679 59th ST, OAKLAND, CA 94609Active"
238,2 Beds, $399000,1 Bath,"MLS® ML81915155
",726 ft,"1276 64th AVE, OAKLAND, CA 94621Active"
239,01 Bed, $42700,1 Bath,"MLS® ML81904255 
",696 ft,"2211 24th AVE, OAKLAND, CA 94601Active"
240,3 Beds, $525000,2.5 Baths,"MLS® ML81914041
","1,110 ft","2276 35th AVE, OAKLAND, CA 94601Active"
241,4 Beds, $599000,2 Baths,"MLS® ML81913185
","1,000 ft","821 34th AVE, OAKLAND, CA 94601Active"
242,4 Beds, $759900,2 Baths,"MLS® ML81909683
",924 ft,"5315 Lowell ST, OAKLAND, CA 94608Active"
243,800, $339,1 Bath,"MLS® ML81907229
",412 ft,"150 Pearl ST 114, OAKLAND, CA 94611Active"
244,2 Beds, $824800,2 Baths,"MLS® ML81906123
","1,388 ft","438 W Grand AVE 520, OAKLAND, CA 94612Active"
245,3 Beds, $999000,2.5 Baths,"MLS® ML81918991
","1,454 ft","7321 Stonedale DR, PLEASANTON, CA 94588Under Contract"
246,81 Bed, $57988,1 Bath,"MLS® ML81916936
",662 ft,"505 Cypress Point DR 299, MOUNTAIN VIEW, CA 94043Pending"
247,2 Beds, $259000,2 Baths,"MLS® ML81919337
","1,057 ft","191 E El Camino Real 140, MOUNTAIN VIEW, CA 94040Active"
248,3 Beds, $698000,1.5 Baths,"MLS® ML81919287
","1,128 ft","532 Tyrella AVE 16, MOUNTAIN VIEW, CA 94043Active"
249,2 Beds, $968000,1.5 Baths,"MLS® ML81916239
",968 ft,"1920 Silverwood AVE, MOUNTAIN VIEW, CA 94043Pending"
250,01 Bed, $72500,1 Bath,"MLS® ML81918200
",814 ft,"2255 Showers DR 223, MOUNTAIN VIEW, CA 94040Pending"
251,01 Bed, $65000,1 Bath,"MLS® ML81918541
",855 ft,"1033 Crestview DR 312, MOUNTAIN VIEW, CA 94040Under Contract"
252,2 Beds, $739000,1 Bath,"MLS® ML81918869
",905 ft,"97 Sherland AVE D, MOUNTAIN VIEW, CA 94043Active"
253,3 Beds, $259000,2 Baths,"MLS® ML81918031
","1,152 ft","191 E El Camino Real 146, MOUNTAIN VIEW, CA 94040Under Contract"
254,2 Beds, $849000,2 Baths,"MLS® ML81918622
",967 ft,"280 Easy ST 111, MOUNTAIN VIEW, CA 94043Active"
255,2 Beds, $249000,2 Baths,"MLS® ML81918453
","1,120 ft","325 SYLVAN AVE 27, MOUNTAIN VIEW, CA 94041Active"
256,01 Bed, $52480,1 Bath,"MLS® ML81916752 
",564 ft,"500 W Middlefield RD 84, MOUNTAIN VIEW, CA 94043Active"
257,01 Bed, $62900,1 Bath,"MLS® ML81919937
",800 ft,"1061 Beach Park BLVD 217, FOSTER CITY, CA 94404Active"
258,2 Beds, $725000,1.5 Baths,"MLS® ML81918501
",998 ft,"8208 Admiralty LN, FOSTER CITY, CA 94404Under Contract"
259,01 Bed, $59800,1 Bath,"MLS® ML81919511
",748 ft,"6102 Admiralty LN, FOSTER CITY, CA 94404Active"
260,2 Beds, $649000,1.5 Baths,"MLS® ML81917134
",998 ft,"6212 Admiralty LN, FOSTER CITY, CA 94404Pending"
261,01 Bed, $70000,1 Bath,"MLS® ML81910681
","1,053 ft","815 Sea Spray LN 217, FOSTER CITY, CA 94404Active"
262,2 Beds, $395000,2 Baths,"MLS® ML81908990
","1,440 ft","25 Sailfish CT 25, HALF MOON BAY, CA 94019Under Contract"
263,2 Beds, $819000,2 Baths,"MLS® ML81917004
",950 ft,"100 Amesport LNDG, HALF MOON BAY, CA 94019Pending"
264,2 Beds, $495000,2 Baths,"MLS® ML81913854
","1,296 ft","150 Canada Cove AVE 150, HALF MOON BAY, CA 94019Under Contract"
265,3 Beds, $448000,2 Baths,"MLS® ML81914701
","1,560 ft","190 Creekside DR 190, HALF MOON BAY, CA 94019Under Contract"
266,2 Beds, $229000,1 Bath,"MLS® ML81896730
",740 ft,"49 Oceanview AVE 49, HALF MOON BAY, CA 94019Under Contract"
267,2 Beds, $775000,2 Baths,"MLS® ML81916149
","1,028 ft","448 Cypress AVE, HALF MOON BAY, CA 94019Active"
268,01 Bed, $46000,1 Bath,"MLS® ML81917129
",614 ft,"480 E Okeefe ST 312, EAST PALO ALTO, CA 94303Under Contract"
269,2 Beds, $920000,2 Baths,"MLS® ML81916494
",960 ft,"2140 Santa Cruz AVE B105, MENLO PARK, CA 94025Active"
270,2 Beds, $875000,2 Baths,"MLS® ML81906960
","1,000 ft","2140 Santa Cruz AVE B302, MENLO PARK, CA 94025Active"
271,2 Beds, $899000,1 Bath,"MLS® ML81919957
",780 ft,"110 Poplar AVE, REDWOOD CITY, CA 94061Active"
272,2 Beds, $299950,2 Baths,"MLS® ML81919204
","1,000 ft","3015 E Bayshore RD 174, REDWOOD CITY, CA 94063Active"
273,2 Beds, $675000,2 Baths,"MLS® ML81905302
","1,035 ft","1240 Woodside RD 23, REDWOOD CITY, CA 94061Pending"
274,2 Beds, $985000,2 Baths,"MLS® ML81910610
","1,003 ft","79 Pelican LN, REDWOOD CITY, CA 94065Active"
275,2 Beds, $259999,1 Bath,"MLS® ML81913600
",864 ft,"3015 E Bayshore RD Space 8, REDWOOD CITY, CA 94063Active"
276,2 Beds, $319000,2 Baths,"MLS® ML81913150
",903 ft,"3015 Baysore RD 434, REDWOOD CITY, CA 94063Active"
277,01 Bed, $89500,1 Bath,"MLS® ML81916477
",733 ft,"633 Elm ST 113, SAN CARLOS, CA 94070Active"
278,01 Bed, $82500,1 Bath,"MLS® ML81916191
",768 ft,"1001 Laurel ST 321, SAN CARLOS, CA 94070Active"
279,2 Beds, $189900,2 Baths,"MLS® ML81915542
","1,200 ft","1075 Space Park WAY 221, MOUNTAIN VIEW, CA 94043Active"
280,01 Bed, $59800,1 Bath,"MLS® ML81911429
",864 ft,"1915 Mount Vernon CT 20, MOUNTAIN VIEW, CA 94040Active"
281,2 Beds, $839999,1 Bath,"MLS® ML81911137
",900 ft,"701 N Rengstorff AVE 18, MOUNTAIN VIEW, CA 94043Active"
282,2 Beds, $799000,2 Baths,"MLS® ML81910518
",967 ft,"280 Easy ST 504, MOUNTAIN VIEW, CA 94043Active"
283,3 Beds, $399000,2 Baths,"MLS® ML81893022
","1,670 ft","1075 Space Park Way 134, MOUNTAIN VIEW, CA 94043Active"
284,4 Beds, $350000,2 Baths,"MLS® ML81919902
","1,524 ft","500 W 10TH ST 150, GILROY, CA 95020Active"
285,3 Beds, $770000,2 Baths,"MLS® ML81919633
","1,269 ft","370 Ronan AVE, GILROY, CA 95020Active"
286,5 Beds, $900000,3 Baths,"MLS® ML81917850
","2,596 ft","760 W 9th ST, GILROY, CA 95020Under Contract"
287,4 Beds, $934500,3 Baths,"MLS® ML81916802
","1,549 ft","9211 Church ST, GILROY, CA 95020Pending"
288,3 Beds, $649900,2 Baths,"MLS® ML81911456
","1,293 ft","1512 Bianca WAY, GILROY, CA 95020Pending"
289,3 Beds, $880000,2.5 Baths,"MLS® ML81917218
","1,689 ft","9373 Benbow DR, GILROY, CA 95020Active"
290,3 Beds, $995000,2.5 Baths,"MLS® ML81914520
","2,097 ft","7320 Fowler ST, GILROY, CA 95020Pending"
291,3 Beds, $874999,2 Baths,"MLS® ML81915639
","1,608 ft","1180 Peterson DR, GILROY, CA 95020Under Contract"
292,4 Beds, $998000,3 Baths,"MLS® ML81918530
","2,350 ft","7481 Princevalle ST, GILROY, CA 95020Pending"
293,4 Beds, $910000,2.5 Baths,"MLS® ML81915426
","1,588 ft","6870 Glenview DR, GILROY, CA 95020Under Contract"
294,4 Beds, $888000,2.5 Baths,"MLS® ML81918987
","2,140 ft","261 Ronan AVE, GILROY, CA 95020Active"
295,4 Beds, $675000,2 Baths,"MLS® ML81916854
","1,536 ft","776 La Paloma WAY, GILROY, CA 95020Pending"
296,4 Beds, $948999,2 Baths,"MLS® ML81918803
","2,014 ft","725 Dartmouth PL, GILROY, CA 95020Active"
297,3 Beds, $799000,2 Baths,"MLS® ML81914479
","1,900 ft","621 Sherwood DR, GILROY, CA 95020Pending"
298,3 Beds, $779000,2.5 Baths,"MLS® ML81914089
","1,684 ft","760 Tennyson DR, GILROY, CA 95020Under Contract"
299,3 Beds, $839888,2.5 Baths,"MLS® ML81917843
","1,884 ft","22 Angra WAY, GILROY, CA 95020Under Contract"
300,2 Beds, $599000,1.5 Baths,"MLS® ML81916695
","1,136 ft","1555 N Hecker Pass RD A102, GILROY, CA 95020Active"
301,4 Beds, $965000,3 Baths,"MLS® ML81918267
","1,953 ft","1230 Qualteri WAY, GILROY, CA 95020Active"
302,01 Bed, $11950,1 Bath,"MLS® ML81918007
",745 ft,"8282 Murray AVE 35, GILROY, CA 95020Active"
303,5 Beds, $899950,3 Baths,"MLS® ML81917999
","2,484 ft","7325 Hagen CT, GILROY, CA 95020Active"
304,3 Beds, $899950,3 Baths,"MLS® ML81913922
","2,053 ft","314 5th ST, GILROY, CA 95020Active"
305,2 Beds, $448000,1.5 Baths,"MLS® ML81915726
",908 ft,"7798 Chestnut ST, GILROY, CA 95020Under Contract"
306,4 Beds, $749000,1.5 Baths,"MLS® ML81910596
","1,358 ft","580 Grant CT, GILROY, CA 95020Under Contract"
307,3 Beds, $979900,2.5 Baths,"MLS® ML81916017
","2,133 ft","122 Chickadee LN, GILROY, CA 95020Pending"
308,3 Beds, $742500,2.5 Baths,"MLS® ML81913813
","1,589 ft","355 Mantelli DR, GILROY, CA 95020Pending"
309,2 Beds, $169500,1 Bath,"MLS® ML81916744
",720 ft,"8282 Murray AVE 114, GILROY, CA 95020Active"
310,3 Beds, $650000,2 Baths,"MLS® ML81916131
","1,293 ft","1530 Rosette WAY, GILROY, CA 95020Active"
311,2 Beds, $450000,1.5 Baths,"MLS® ML81905608
",908 ft,"7765 Ghirlanda CT, GILROY, CA 95020Active"
312,3 Beds, $795000,1 Bath,"MLS® ML81903598
","1,232 ft","7621 Dowdy ST, GILROY, CA 95020Pending"
313,3 Beds, $895000,2 Baths,"MLS® ML81910933
","1,459 ft","7485 Santa Theresa DR, GILROY, CA 95020Active"
314,2 Beds, $890000,1 Bath,"MLS® ML81906625
",700 ft,"6389 Miller AVE, GILROY, CA 95020Active"
315,4 Beds, $747888,2 Baths,"MLS® ML81904192
","1,330 ft","7330 Maple ST, GILROY, CA 95020Active"
316,2 Beds, $799000,1.5 Baths,"MLS® ML81918522
","1,100 ft","1310 Poplar AVE, PACIFICA, CA 94044Active"
317,2 Beds, $780000,1.5 Baths,"MLS® ML81907447
",980 ft,"1199 Oddstad BLVD, PACIFICA, CA 94044Under Contract"
318,2 Beds, $699950,2 Baths,"MLS® ML81909816
","1,200 ft","5015 PALMETTO AVE 12, PACIFICA, CA 94044Under Contract"
319,3 Beds, $550000,1 Bath,"MLS® ML81914766
","1,274 ft","2024 Overhill RD, CONCORD, CA 94520Pending"
320,3 Beds, $688888,2 Baths,"MLS® ML81919635
","1,176 ft","1712 Ravenwood DR, CONCORD, CA 94520Active"
321,2 Beds, $189000,2 Baths,"MLS® ML81919173
",600 ft,"1080 San Miguel Rd. 118, CONCORD, CA 94518Active"
322,3 Beds, $698000,2 Baths,"MLS® ML81917933
","1,426 ft","3532 Sanford ST, CONCORD, CA 94520Under Contract"
323,3 Beds, $275000,2 Baths,"MLS® ML81918615
","1,080 ft","116 A ST 116, CONCORD, CA 94520Active"
324,3 Beds, $448888,2 Baths,"MLS® ML81913645
","1,341 ft","2994 Grant ST, CONCORD, CA 94520Pending"
325,2 Beds, $379000,1 Bath,"MLS® ML81918243
",889 ft,"4081 Clayton RD 116, CONCORD, CA 94521Active"
326,3 Beds, $630000,2 Baths,"MLS® ML81912732
","1,462 ft","4583 Deercreek LN, CONCORD, CA 94521Under Contract"
327,2 Beds, $100000,2 Baths,"MLS® ML81907857
",960 ft,"54 Adobe 54, CONCORD, CA 94520Active"
328,2 Beds, $895000,2 Baths,"MLS® ML81919742
","1,215 ft","118 Library LN, SANTA CRUZ, CA 95062Active"
329,3 Beds, $995000,2 Baths,"MLS® ML81918776
","1,515 ft","108 Shelter Lagoon DR, SANTA CRUZ, CA 95060Under Contract"
330,3 Beds, $979000,2 Baths,"MLS® ML81917516
","1,666 ft","119 Catalpa ST, SANTA CRUZ, CA 95062Under Contract"
331,"95,000", $10,1 Bath,"MLS® ML81919024
","1,200 ft","113 New ST, SANTA CRUZ, CA 95060Active"
332,2 Beds, $599000,2 Baths,"MLS® ML81918102
","1,165 ft","323 Broadway A2, SANTA CRUZ, CA 95060Under Contract"
333,3 Beds, $949000,2.5 Baths,"MLS® ML81918849
","1,774 ft","425 Prospect HTS, SANTA CRUZ, CA 95065Active"
334,2 Beds, $908000,2 Baths,"MLS® ML81916969
","1,286 ft","102 Shelter Lagoon DR, SANTA CRUZ, CA 95060Pending"
335,2 Beds, $498000,1 Bath,"MLS® ML81918171
",720 ft,"180 Dakota AVE 36, SANTA CRUZ, CA 95060Active"
336,2 Beds, $250000,2 Baths,"MLS® ML81897306
","1,536 ft","2395 Delaware AVE 62, SANTA CRUZ, CA 95060Under Contract"
337,2 Beds, $895000,1.5 Baths,"MLS® ML81916991
","1,357 ft","232 San Lorenzo BLVD, SANTA CRUZ, CA 95060Active"
338,2 Beds, $415000,2 Baths,"MLS® ML81913249
","1,524 ft","2395 Delaware AVE 156, SANTA CRUZ, CA 95060Active"
339,4 Beds, $738888,2.5 Baths,"MLS® ML81918442
","1,618 ft","1063 Inverness CT, RICHMOND, CA 94806Under Contract"
340,2 Beds, $498888,2 Baths,"MLS® ML81919738
","1,176 ft","3668 Stoneglen S, RICHMOND, CA 94806Active"
341,3 Beds, $630000,2 Baths,"MLS® ML81919515
","1,193 ft","5114 School AVE, RICHMOND, CA 94804Active"
342,2 Beds, $329950,1 Bath,"MLS® ML81918811
",816 ft,"1532 Chanslor AVE S, RICHMOND, CA 94801Active"
343,2 Beds, $630000,2.5 Baths,"MLS® ML81913161
","1,144 ft","2102 Jetty DR, RICHMOND, CA 94804Pending"
344,3 Beds, $750000,1 Bath,"MLS® ML81916601
","1,600 ft","22 Idaho ST, RICHMOND, CA 94801Under Contract"
345,4 Beds, $410000,2.5 Baths,"MLS® ML81915829
","1,912 ft","222 S 5th ST, RICHMOND, CA 94804Under Contract"
346,2 Beds, $499000,2 Baths,"MLS® ML81915655
","1,012 ft","560 2nd ST, RICHMOND, CA 94801Active"
347,2 Beds, $670000,1 Bath,"MLS® ML81915487
",897 ft,"770 Ventura ST, RICHMOND, CA 94805Active"
348,2 Beds, $447500,1.5 Baths,"MLS® ML81881697
","1,080 ft","38 Park LN, EL SOBRANTE, CA 94803Active"
349,3 Beds, $899999,3 Baths,"MLS® ML81910991
","2,436 ft","5182 Coach DR, RICHMOND, CA 94803Active"
350,3 Beds, $539000,1 Bath,"MLS® ML81910764 
",998 ft,"524 S 19th ST, RICHMOND, CA 94804Active"
351,2 Beds, $799000,2 Baths,"MLS® ML81918561
","1,056 ft","400 Davey Glen RD 4325, BELMONT, CA 94002Pending"
352,2 Beds, $995000,2 Baths,"MLS® ML81918431
",947 ft,"400 El Camino Real 222, BELMONT, CA 94002Active"
353,2 Beds, $925000,2 Baths,"MLS® ML81914545
","1,055 ft","1070 Mercedes AVE 20, LOS ALTOS, CA 94022Active"
354,01 Bed, $57900,1 Bath,"MLS® ML81918521
",768 ft,"443 Alberto WAY B219, LOS GATOS, CA 95032Pending"
355,2 Beds, $969000,1.5 Baths,"MLS® ML81916742
","1,040 ft","120 Oak Rim WAY 21, LOS GATOS, CA 95032Pending"
356,3 Beds, $549900,2 Baths,"MLS® ML81919471
","1,295 ft","14685 Oka RD 19, LOS GATOS, CA 95032Active"
357,2 Beds, $599000,1 Bath,"MLS® ML81919392
",996 ft,"14225 Lora DR 70, LOS GATOS, CA 95032Active"
358,01 Bed, $49900,1 Bath,"MLS® ML81919302
",816 ft,"14225 Lora DR 99, LOS GATOS, CA 95032Active"
359,01 Bed, $87900,1.5 Baths,"MLS® ML81918664
",864 ft,"600 Pennsylvania AVE 14, LOS GATOS, CA 95030Active"
360,2 Beds, $699000,2 Baths,"MLS® ML81918447
","1,136 ft","451 Alberto WAY 247, LOS GATOS, CA 95032Active"
361,2 Beds, $618000,2 Baths,"MLS® ML81914464
",900 ft,"14245 Lora DR 23, LOS GATOS, CA 95032Pending"
362,3 Beds, $698888,2 Baths,"MLS® ML81919720
","1,283 ft","39887 Cedar Blvd 253, NEWARK, CA 94560Active"
363,3 Beds, $899000,1 Bath,"MLS® ML81914549
","1,217 ft","6265 Wilma AVE, NEWARK, CA 94560Under Contract"
364,3 Beds, $898000,1 Bath,"MLS® ML81916447
","1,000 ft","6195 Cotton AVE, NEWARK, CA 94560Pending"
365,2 Beds, $648800,1.5 Baths,"MLS® ML81915556 
",972 ft,"35045 Lido BLVD, NEWARK, CA 94560Active"
366,01 Bed, $61000,1 Bath,"MLS® ML81917672
",764 ft,"1550 Frontera WAY 319, MILLBRAE, CA 94030Under Contract"
367,2 Beds, $925000,2 Baths,"MLS® ML81917433
",995 ft,"340 Vallejo DR 53, MILLBRAE, CA 94030Active"
368,81 Bed, $44988,1 Bath,"MLS® ML81919839
",540 ft,"1126 Cherry AVE 55, SAN BRUNO, CA 94066Active"
369,01 Bed, $52000,1 Bath,"MLS® ML81918824
",680 ft,"1223 Shelter Creek Lane, SAN BRUNO, CA 94066Pending"
370,01 Bed, $53850,1 Bath,"MLS® ML81918545
",680 ft,"7123 Shelter Creek LN 7123, SAN BRUNO, CA 94066Under Contract"
371,2 Beds, $699999,2 Baths,"MLS® ML81917197
","1,059 ft","3326 Shelter Creek LN 3326, SAN BRUNO, CA 94066Pending"
372,01 Bed, $49500,1 Bath,"MLS® ML81917166
",650 ft,"205 Boardwalk AVE B, SAN BRUNO, CA 94066Pending"
373,000, $399,1 Bath,"MLS® ML81914316
",490 ft,"5122 Shelter Creek LN, SAN BRUNO, CA 94066Under Contract"
374,01 Bed, $52500,1 Bath,"MLS® ML81916088
",680 ft,"6229 Shelter Creek LN, SAN BRUNO, CA 94066Under Contract"
375,000, $395,1 Bath,"MLS® ML81916775
",490 ft,"3309 Shelter Creek LN, SAN BRUNO, CA 94066Active"
376,888, $439,1 Bath,"MLS® ML81916366
",490 ft,"6221 Shelter Creek LN, SAN BRUNO, CA 94066Active"
377,000, $428,1 Bath,"MLS® ML81916129
",450 ft,"1126 Cherry AVE 54, SAN BRUNO, CA 94066Active"
378,000, $425,1 Bath,"MLS® ML81915564
",490 ft,"8309 SHELTER CREEK LN, SAN BRUNO, CA 94066Active"
379,2 Beds, $665888,2 Baths,"MLS® ML81905642
","1,000 ft","1226 Shelter Creek LN, SAN BRUNO, CA 94066Active"
380,4 Beds, $749950,3 Baths,"MLS® ML81919807
","2,079 ft","316 Hideaway LN, PITTSBURG, CA 94565Active"
381,4 Beds, $757055,3 Baths,"MLS® ML81919474
","2,231 ft","18 Ash CT, PITTSBURG, CA 94565Active"
382,4 Beds, $727075,2.5 Baths,"MLS® ML81919157
","2,022 ft","25 Ash CT, PITTSBURG, CA 94565Active"
383,4 Beds, $687070,2.5 Baths,"MLS® ML81917562
","2,022 ft","10 Celtis CT, PITTSBURG, CA 94565Pending"
384,4 Beds, $699020,3 Baths,"MLS® ML81914600
","2,231 ft","1442 Sanctuary ST, PITTSBURG, CA 94565Pending"
385,4 Beds, $679950,3 Baths,"MLS® ML81916410
","1,884 ft","312 Hideaway LN, PITTSBURG, CA 94565Pending"
386,3 Beds, $485000,2 Baths,"MLS® ML81911455
","1,349 ft","2226 Old Creek CIR, PITTSBURG, CA 94565Pending"
387,4 Beds, $699000,3 Baths,"MLS® ML81916412
","1,978 ft","308 Hideaway LN, PITTSBURG, CA 94565Pending"
388,4 Beds, $599000,2 Baths,"MLS® ML81917737
","1,311 ft","2058 Plymouth DR, PITTSBURG, CA 94565Active"
389,5 Beds, $885500,3.5 Baths,"MLS® ML81916910
","3,583 ft","2013 Aragon DR, PITTSBURG, CA 94565Pending"
390,4 Beds, $575000,2 Baths,"MLS® ML81917153
","1,629 ft","1357 Emerson DR, PITTSBURG, CA 94565Pending"
391,4 Beds, $698020,2.5 Baths,"MLS® ML81914611
","2,022 ft","1454 Sanctuary ST, PITTSBURG, CA 94565Pending"
392,4 Beds, $569888,2.5 Baths,"MLS® ML81911610
","1,921 ft","421 Shoreline DR, PITTSBURG, CA 94565Under Contract"
393,3 Beds, $665020,2.5 Baths,"MLS® ML81914596
","1,841 ft","1448 Sanctuary ST, PITTSBURG, CA 94565Pending"
394,3 Beds, $663080,2.5 Baths,"MLS® ML81916179 
","1,840 ft","1460 Sanctuary ST, PITTSBURG, CA 94565Active"
395,2 Beds, $688800,1 Bath,"MLS® ML81919659
",903 ft,"365 N Third ST 2, CAMPBELL, CA 95008Active"
396,2 Beds, $949950,2.5 Baths,"MLS® ML81919263
","1,318 ft","16143 Loretta LN, LOS GATOS, CA 95032Pending"
397,2 Beds, $925000,2.5 Baths,"MLS® ML81917263
","1,242 ft","605 Millich DR, CAMPBELL, CA 95008Pending"
398,2 Beds, $675000,1 Bath,"MLS® ML81915750
",905 ft,"283 E Latimer AVE 2, CAMPBELL, CA 95008Pending"
399,3 Beds, $320000,2 Baths,"MLS® ML81918407
","1,140 ft","83 Timber Cove DR 83, CAMPBELL, CA 95008Pending"
400,2 Beds, $649000,1 Bath,"MLS® ML81917960
",798 ft,"312 N 2nd ST 4, CAMPBELL, CA 95008Under Contract"
401,01 Bed, $79900,1 Bath,"MLS® ML81911951
",562 ft,"11 Commodore Marina Unit D, MILL VALLEY, CA 94941Active"
402,01 Bed, $79900,1 Bath,"MLS® ML81911949
",612 ft,"11 Commodore Marina Unit C, MILL VALLEY, CA 94941Active"
403,01 Bed, $69900,1 Bath,"MLS® ML81911946
",542 ft,"11 Commodore Marina Unit B, MILL VALLEY, CA 94941Active"
404,01 Bed, $69900,1 Bath,"MLS® ML81911905
",545 ft,"11 Commodore Marina Unit A, MILL VALLEY, CA 94941Active"
405,01 Bed, $37000,1 Bath,"MLS® ML81911354
",857 ft,"100 Thorndale DR 204, SAN RAFAEL, CA 94903Active"
406,3 Beds, $938000,2 Baths,"MLS® ML81915588
","2,444 ft","13805 Village AVE, HEALDSBURG, CA 95448Pending"
407,3 Beds, $789000,2.5 Baths,"MLS® ML81919299
","1,871 ft","5732 Davis CIR, ROHNERT PARK, CA 94928Active"
408,4 Beds, $979900,3 Baths,"MLS® ML81901965
","2,637 ft","1905 Bautista WAY, PETALUMA, CA 94952Active"
409,4 Beds, $999000,3 Baths,"MLS® ML81914768
","2,200 ft","605 Scenic WAY, BEN LOMOND, CA 95005Pending"
410,2 Beds, $999999,2 Baths,"MLS® ML81903545
","1,189 ft","212 Riverside AVE, BEN LOMOND, CA 95005Under Contract"
411,2 Beds, $868000,1 Bath,"MLS® ML81915286
",936 ft,"8325 Fremont AVE, BEN LOMOND, CA 95005Active"
412,2 Beds, $799000,1 Bath,"MLS® ML81896318 
","1,403 ft","8287 Hermosa AVE, BEN LOMOND, CA 95005Active"
413,3 Beds, $699888,3.5 Baths,"MLS® ML81916047
","1,981 ft","431 Colina WAY, EL SOBRANTE, CA 94803Pending"
414,3 Beds, $899000,3 Baths,"MLS® ML81907816
","2,481 ft","24 Valley View CT, EL SOBRANTE, CA 94803Under Contract"
415,4 Beds, $749950,1 Bath,"MLS® ML81916880
","1,874 ft","555 Rincon RD, EL SOBRANTE, CA 94803Active"
416,3 Beds, $899999,3 Baths,"MLS® ML81910991 
","2,436 ft","5182 Coach DR, RICHMOND, CA 94803Active"
417,2 Beds, $669000,1 Bath,"MLS® ML81919849
",840 ft,"3 Hacienda Carmel, CARMEL, CA 93923Active"
418,2 Beds, $659000,2 Baths,"MLS® ML81913966
",910 ft,"167 Hacienda Carmel, CARMEL, CA 93923Sold"
419,2 Beds, $620000,2 Baths,"MLS® ML81911489
",966 ft,"44 Hacienda Carmel, CARMEL, CA 93923Sold"
420,2 Beds, $714000,2 Baths,"MLS® ML81903242
",969 ft,"117 Hacienda Carmel, CARMEL, CA 93923Sold"
